timestamp,temperature_C,humidity,mq_raw,mq_gas_detected,anomaly_flag,anomaly_type,anomaly_source
2025-12-11T23:32:06.218,19.5,53.2,0,,,0,none,none
2025-12-11T23:32:08.473,19.5,53.1,0,,,0,none,none
2025-12-11T23:32:10.727,19.5,52.9,0,,,0,none,none
2025-12-11T23:32:12.982,19.5,52.8,0,,,0,none,none
2025-12-11T23:32:15.237,19.5,52.9,0,,,0,none,none
2025-12-11T23:32:17.491,19.5,52.8,0,,,0,none,none
2025-12-11T23:32:19.746,19.5,52.9,0,,,0,none,none
2025-12-11T23:32:22.000,19.5,52.9,0,,,0,none,none
2025-12-11T23:32:24.259,19.5,52.9,0,,,0,none,none
2025-12-11T23:32:26.519,19.5,52.8,0,,,0,none,none
2025-12-11T23:32:28.779,19.5,52.8,0,,,0,none,none
2025-12-11T23:32:31.039,19.5,52.8,0,,,0,none,none
2025-12-11T23:32:33.299,19.5,52.8,0,,,0,none,none
2025-12-11T23:32:35.559,19.5,52.8,0,,,0,none,none
2025-12-11T23:32:37.819,19.5,52.8,0,,,0,none,none
2025-12-11T23:32:40.079,19.5,52.9,0,,,0,none,none
2025-12-11T23:32:42.334,19.5,52.9,0,,,0,none,none
2025-12-11T23:32:44.588,19.5,52.8,0,,,0,none,none
2025-12-11T23:32:46.847,19.5,52.8,0,,,0,none,none
2025-12-11T23:32:49.107,19.5,52.8,0,,,0,none,none
2025-12-11T23:32:51.361,19.5,52.8,0,,,0,none,none
2025-12-11T23:32:53.619,19.5,52.9,0,,,0,none,none
2025-12-11T23:32:55.874,19.5,53.1,0,,,0,none,none
2025-12-11T23:32:58.131,19.5,53.2,0,,,0,none,none
2025-12-11T23:33:00.386,19.5,53.3,0,,,0,none,none
2025-12-11T23:33:02.640,19.5,53.2,0,,,0,none,none
2025-12-11T23:33:04.894,19.5,53.2,0,,,0,none,none
2025-12-11T23:33:07.155,19.5,53.0,0,,,0,none,none
2025-12-11T23:33:09.415,19.5,52.9,0,,,0,none,none
2025-12-11T23:33:11.669,19.5,52.8,0,,,0,none,none
2025-12-11T23:33:13.927,19.5,52.7,0,,,0,none,none
2025-12-11T23:33:16.187,19.5,52.8,0,,,0,none,none
2025-12-11T23:33:18.441,19.5,52.8,0,,,0,none,none
2025-12-11T23:33:20.696,19.5,52.9,0,,,0,none,none
2025-12-11T23:33:22.955,19.5,53.0,0,,,0,none,none
2025-12-11T23:33:25.215,19.5,53.0,0,,,0,none,none
2025-12-11T23:33:27.475,19.5,53.0,0,,,0,none,none
2025-12-11T23:33:29.730,19.5,53.1,0,,,0,none,none
2025-12-11T23:33:31.987,19.5,53.0,0,,,0,none,none
2025-12-11T23:33:34.242,19.5,52.9,0,,,0,none,none
2025-12-11T23:33:36.499,19.5,53.0,0,,,0,none,none
2025-12-11T23:33:38.759,19.5,52.9,0,,,0,none,none
2025-12-11T23:33:41.014,19.5,52.9,0,,,0,none,none
2025-12-11T23:33:43.276,19.5,53.1,0,,,0,none,none
2025-12-11T23:33:45.535,19.5,53.1,0,,,0,none,none
2025-12-11T23:33:47.795,19.5,53.0,0,,,0,none,none
2025-12-11T23:33:50.055,19.5,53.0,0,,,0,none,none
2025-12-11T23:33:52.315,19.5,53.0,0,,,0,none,none
2025-12-11T23:33:54.570,19.5,52.9,0,,,0,none,none
2025-12-11T23:33:56.824,19.5,53.0,0,,,0,none,none
2025-12-11T23:33:59.079,19.5,53.1,0,,,0,none,none
2025-12-11T23:34:01.333,,,0,,,0,none,none
2025-12-11T23:34:03.588,19.5,53.1,0,,,0,none,none
2025-12-11T23:34:05.842,19.5,53.0,0,,,0,none,none
2025-12-11T23:34:08.099,19.5,53.0,0,,,0,none,none
2025-12-11T23:34:10.359,19.5,52.9,0,,,0,none,none
2025-12-11T23:34:12.613,19.5,52.8,0,,,0,none,none
2025-12-11T23:34:14.871,19.5,52.7,0,,,0,none,none
2025-12-11T23:34:17.126,19.5,52.8,0,,,0,none,none
2025-12-11T23:34:19.380,19.5,52.8,0,,,0,none,none
2025-12-11T23:34:21.635,19.5,52.7,0,,,0,none,none
2025-12-11T23:34:23.889,19.5,52.6,0,,,0,none,none
2025-12-11T23:34:26.147,19.5,52.5,0,,,0,none,none
2025-12-11T23:34:28.402,19.5,52.5,0,,,0,none,none
2025-12-11T23:34:30.656,19.5,52.4,0,,,0,none,none
2025-12-11T23:34:32.915,19.5,52.3,0,,,0,none,none
2025-12-11T23:34:35.170,19.5,52.2,0,,,0,none,none
2025-12-11T23:34:37.427,19.5,52.4,0,,,0,none,none
2025-12-11T23:34:39.687,19.5,52.3,0,,,0,none,none
2025-12-11T23:34:41.942,19.5,52.5,0,,,0,none,none
2025-12-11T23:34:44.199,19.5,52.7,0,,,0,none,none
2025-12-11T23:34:46.453,19.5,52.8,0,,,0,none,none
2025-12-11T23:34:48.708,19.5,52.8,0,,,0,none,none
2025-12-11T23:34:50.963,19.5,52.8,0,,,0,none,none
2025-12-11T23:34:53.223,19.5,52.7,0,,,0,none,none
2025-12-11T23:34:55.483,19.5,52.8,0,,,0,none,none
2025-12-11T23:34:57.743,19.5,52.9,0,,,0,none,none
2025-12-11T23:35:00.003,19.5,52.9,0,,,0,none,none
2025-12-11T23:35:02.263,19.5,53.0,0,,,0,none,none
2025-12-11T23:35:04.523,19.5,52.9,0,,,0,none,none
2025-12-11T23:35:06.783,19.5,52.8,0,,,0,none,none
2025-12-11T23:35:09.038,19.5,52.7,0,,,0,none,none
2025-12-11T23:35:11.295,19.5,52.5,0,,,0,none,none
2025-12-11T23:35:13.555,19.5,52.6,0,,,0,none,none
