timestamp,temperature_C,humidity,pir_motion
2025-12-28T04:21:44.155595,17.8,63.2,0
2025-12-28T04:21:46.410161,17.8,63.2,1
2025-12-28T04:21:48.664974,17.8,63.2,1
2025-12-28T04:21:50.919366,17.8,63.2,1
2025-12-28T04:21:53.173684,17.8,63.2,1
2025-12-28T04:21:55.428038,17.8,63.2,1
2025-12-28T04:21:57.682209,17.8,63.2,1
2025-12-28T04:21:59.936745,17.8,63.2,1
2025-12-28T04:22:02.191106,17.8,63.2,1
2025-12-28T04:22:04.445651,17.8,63.1,1
2025-12-28T04:22:06.700188,17.8,63.1,1
2025-12-28T04:22:08.954865,17.8,63.2,1
2025-12-28T04:22:11.209424,17.8,63.2,1
2025-12-28T04:22:13.463854,17.8,63.1,1
2025-12-28T04:22:15.718159,17.8,63.1,1
2025-12-28T04:22:17.972757,17.8,63.2,1
2025-12-28T04:22:20.227112,17.8,63.2,1
2025-12-28T04:22:22.481805,17.8,63.1,1
2025-12-28T04:22:24.736440,17.8,63.2,1
2025-12-28T04:22:26.990739,17.8,63.2,1
2025-12-28T04:22:29.245501,17.8,63.2,0
2025-12-28T04:22:31.500097,17.8,63.2,0
2025-12-28T04:22:33.754671,17.8,63.1,0
2025-12-28T04:22:36.009433,17.8,63.2,0
2025-12-28T04:22:38.264001,17.8,63.2,0
2025-12-28T04:22:40.518559,17.8,63.1,0
2025-12-28T04:22:42.773402,17.8,63.1,1
2025-12-28T04:22:45.027983,17.8,63.2,1
2025-12-28T04:22:47.282489,17.8,63.2,1
2025-12-28T04:22:49.537211,17.8,63.1,1
2025-12-28T04:22:51.791976,17.8,63.2,1
2025-12-28T04:22:54.046331,17.8,63.2,1
2025-12-28T04:22:56.301076,17.8,63.2,1
2025-12-28T04:22:58.555659,17.8,63.1,1
2025-12-28T04:23:00.810199,17.8,63.2,1
2025-12-28T04:23:03.064951,17.8,63.2,1
2025-12-28T04:23:05.319534,17.8,63.2,1
2025-12-28T04:23:07.573910,17.8,63.2,1
2025-12-28T04:23:09.828687,17.8,63.2,1
2025-12-28T04:23:12.083080,17.8,63.2,1
2025-12-28T04:23:14.337477,17.8,63.2,1
2025-12-28T04:23:16.592166,17.8,63.2,1
2025-12-28T04:23:18.846844,17.8,63.2,1
2025-12-28T04:23:21.101288,17.8,63.2,1
2025-12-28T04:23:23.355885,17.8,63.2,1
2025-12-28T04:23:25.610445,17.8,63.2,0
2025-12-28T04:23:27.865049,17.8,63.2,0
2025-12-28T04:23:30.119727,17.8,63.1,0
2025-12-28T04:23:32.374294,17.8,63.2,0
2025-12-28T04:23:34.628884,17.8,63.2,0
2025-12-28T04:23:36.883672,17.8,63.2,0
2025-12-28T04:23:39.138219,17.8,63.1,0
2025-12-28T04:23:41.392701,17.8,63.2,1
2025-12-28T04:23:43.647397,17.8,63.2,1
2025-12-28T04:23:45.902086,17.8,63.2,1
2025-12-28T04:23:48.156632,17.8,63.1,1
2025-12-28T04:23:50.411230,17.8,63.2,1
2025-12-28T04:23:52.665855,17.8,63.2,1
2025-12-28T04:23:54.920432,17.8,63.2,1
2025-12-28T04:23:57.175080,17.8,63.1,1
2025-12-28T04:23:59.429135,17.8,63.2,1
2025-12-28T04:24:01.683721,17.8,63.2,1
